Municipios;Nome;Populacao;Area;Densidade
334;Protásio Alves;2000;11,57;172,86
335;Putinga;4141;20,19;205,10
336;Quaraí;23021;7,31;3149,25
337;Quatro Irmãos;1775;6,62;268,13
338;Quevedos;2710;4,99;543,09
339;Quinze de Novembro;3653;16,33;223,70
340;Redentora;10222;33,77;302,69
341;Relvado;2155;17,46;123,42
342;Restinga Sêca;15849;16,58;955,91
343;Rio dos Índios;3616;15,37;235,26
344;Rio Grande;197228;72,79;2709,55
345;Rio Pardo;37591;18,33;2050,79
346;Riozinho;4330;18,07;239,62
347;Roca Sales;10284;49,29;208,64
348;Rodeio Bonito;5743;69,03;83,20
349;Rolador;2546;8,63;295,02
350;Rolante;19485;65,91;295,63
351;Ronda Alta;10221;24,37;419,41
352;Rondinha;5518;21,88;252,19
353;Roque Gonzales;7203;20,78;346,63
354;Rosário do Sul;39707;9,09;4368,21
355;Sagrada Família;2595;33,16;78,26
356;Saldanha Marinho;2869;12,95;221,54
357;Salto do Jacuí;11880;23,41;507,48
358;Salvador das Missões;2669;28,38;94,05
359;Salvador do Sul;6747;67,59;99,82
360;Sananduva;15373;30,47;504,53
361;Santa Bárbara do Sul;8829;9,05;975,58
362;Santa Cecília do Sul;1655;8,3;199,40
363;Santa Clara do Sul;5697;65,75;86,65
364;Santa Cruz do Sul;118374;161,4;733,42
365;Santa Margarida do Sul;2352;2,46;956,10
366;Santa Maria;261031;145,98;1788,13
367;Santa Maria do Herval;6053;43,36;139,60
368;Santa Rosa;68587;140,03;489,80
369;Santa Tereza;1720;23,76;72,39
370;Santa Vitória do Palmar;30990;5,91;5243,65
371;Santana da Boa Vista;8242;5,8;1421,03
372;Sant'ana do Livramento;82464;11,86;6953,12
373;Santiago;49071;20,33;2413,72
374;Santo Ângelo;76275;112,09;680,48
375;Santo Antônio da Patrulha;39685;37,8;1049,87
376;Santo Antônio das Missões;11210;6,55;1711,45
377;Santo Antônio do Palma;2139;16,96;126,12
378;Santo Antônio do Planalto;1987;9,77;203,38
379;Santo Augusto;13968;29,84;468,10
380;Santo Cristo;14378;39,19;366,88
381;Santo Expedito do Sul;2461;19,57;125,75
382;São Borja;61671;17,05;3617,07
383;São Domingos do Sul;2926;37,06;78,95
384;São Francisco de Assis;19254;7,68;2507,03
385;São Francisco de Paula;20537;6,27;3275,44
386;São Gabriel;60425;12,03;5022,86
387;São Jerônimo;22134;23,64;936,29
388;São João da Urtiga;4726;27,61;171,17
389;São João do Polêsine;2635;30,94;85,16
390;São Jorge;2774;23,5;118,04
391;São José das Missões;2720;27,74;98,05
392;São José do Herval;2204;21,38;103,09
393;São José do Hortêncio;4094;63,86;64,11
394;São José do Inhacorá;2200;28,28;77,79
395;São José do Norte;25503;22,81;1118,06
396;São José do Ouro;6904;20,62;334,82
397;São José do Sul;2082;35,27;59,03
398;São José dos Ausentes;3290;2,8;1175,00
399;São Leopoldo;214087;2083,82;102,74
400;São Lourenço do Sul;43111;21,17;2036,42
401;São Luiz Gonzaga;34556;26,67;1295,69
402;São Marcos;20103;78,45;256,25
403;São Martinho;5773;33,63;171,66
404;São Martinho da Serra;3201;4,78;669,67
405;São Miguel das Missões;7421;6,03;1230,68
406;São Nicolau;5727;11,8;485,34
407;São Paulo das Missões;6364;28,43;223,85
408;São Pedro da Serra;3315;93,68;35,39
409;São Pedro das Missões;1886;23,59;79,95
410;São Pedro do Butiá;2873;26,69;107,64
411;São Pedro do Sul;16368;18,74;873,43
412;São Sebastião do Caí;21932;196,81;111,44
413;São Sepé;23798;10,81;2201,48
414;São Valentim;3632;23,56;154,16
415;São Valentim do Sul;2168;23,5;92,26
416;São Valério do Sul;2647;24,52;107,95
417;São Vendelino;1944;60,59;32,08
418;São Vicente do Sul;8440;7,18;1175,49
419;Sapiranga;74985;542,14;138,31
420;Sapucaia do Sul;130957;2245,91;58,31
421;Sarandi;21285;60,23;353,40
422;Seberi;10897;36,15;301,44
423;Sede Nova;3011;25,24;119,29
424;Segredo;7158;28,93;247,42
425;Selbach;4929;27,75;177,62
